                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45965,                 3.9604,                0.89913,                0.00986,                0.74203,                0.10177,                0.09361,                0.31379,                 3.8552,                0.80131,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                  0.455,                 3.7306,                0.85024,                0.01081,                0.93784,                0.18545,                0.16828,                0.35797,                 3.6177,                0.79692,             0.00010722,             0.00010722,             0.00010722
                      3,                0.55716,                 2.9351,                0.96918,                0.01023,                0.99038,                0.20413,                0.18479,                0.38944,                 3.3925,                0.80201,              0.0001633,              0.0001633,              0.0001633
                      4,                0.45818,                 2.9435,                0.84382,                 0.0101,                      1,                0.20242,                0.18869,                0.34928,                 3.2907,                0.79796,             0.00021823,             0.00021823,             0.00021823
                      5,                0.41717,                 2.4415,                0.84327,                0.00939,                      1,                0.20543,                0.18442,                0.42158,                 3.1994,                0.80554,               0.000272,               0.000272,               0.000272
                      6,                0.39174,                  2.586,                0.84729,                0.00954,                0.99038,                0.29588,                0.27111,                0.38721,                 3.1293,                0.80349,             0.00032462,             0.00032462,             0.00032462
                      7,                0.37667,                 2.1915,                 0.8217,                0.01004,                0.98077,                0.36661,                0.34539,                0.35088,                 3.1577,                0.80244,             0.00037609,             0.00037609,             0.00037609
                      8,                0.44597,                  2.064,                0.87066,                0.52701,                0.48891,                0.45731,                0.43341,                0.31396,                 3.0829,                0.80297,              0.0004264,              0.0004264,              0.0004264
                      9,                0.42078,                 1.8785,                0.83451,                0.88244,                0.22056,                0.58032,                0.54595,                 0.3437,                 2.9066,                0.80366,             0.00047556,             0.00047556,             0.00047556
                     10,                0.39333,                 1.9678,                0.84553,                0.88075,                0.28214,                0.64002,                0.59528,                0.32972,                 2.7985,                0.80414,             0.00052356,             0.00052356,             0.00052356
                     11,                0.35887,                 1.8336,                0.81831,                0.88863,                0.36518,                0.67017,                0.63163,                0.32098,                 2.6947,                0.80307,             0.00057041,             0.00057041,             0.00057041
                     12,                0.35373,                 1.6807,                0.81701,                0.85435,                0.60357,                0.74253,                0.69552,                0.32849,                 2.1726,                 0.8016,              0.0006161,              0.0006161,              0.0006161
                     13,                0.39272,                 1.5634,                0.86481,                0.84132,                 0.6059,                0.77096,                0.72816,                0.31769,                 2.0879,                0.80069,             0.00066064,             0.00066064,             0.00066064
                     14,                0.35628,                  1.462,                0.79586,                 0.9347,                0.55441,                0.84605,                0.80672,                0.30625,                 2.1015,                0.80081,             0.00070402,             0.00070402,             0.00070402
                     15,                0.37135,                 1.3067,                0.82028,                0.74629,                0.44319,                0.64777,                0.62171,                0.30515,                 2.4097,                0.80448,             0.00071755,             0.00071755,             0.00071755
                     16,                0.37818,                  1.399,                0.83083,                 0.6999,                0.73552,                0.75478,                0.71689,                0.30124,                 1.8896,                0.79845,              0.0007093,              0.0007093,              0.0007093
                     17,                0.39422,                 1.2684,                 0.8161,                0.78959,                0.83134,                0.84642,                0.79913,                0.30563,                 1.6268,                0.79773,             0.00070105,             0.00070105,             0.00070105
                     18,                0.37497,                 1.3898,                0.82309,                0.81847,                0.77473,                0.84426,                0.79457,                0.35483,                 1.5807,                0.80792,             0.00069281,             0.00069281,             0.00069281
                     19,                0.35928,                 1.1384,                0.79802,                0.76668,                0.71496,                0.82653,                0.78052,                0.32372,                 1.7781,                0.80267,             0.00068456,             0.00068456,             0.00068456
                     20,                0.34497,                 1.1838,                0.83113,                0.69935,                0.81793,                0.92616,                0.87841,                0.33046,                 1.6365,                0.80614,             0.00067631,             0.00067631,             0.00067631
                     21,                0.39136,                 1.3005,                0.82058,                0.71725,                0.79058,                0.88366,                0.84363,                0.30738,                 1.7752,                0.80228,             0.00066807,             0.00066807,             0.00066807
                     22,                0.34581,                 1.1641,                0.81929,                0.79959,                0.72594,                0.87659,                0.83837,                 0.2886,                 1.5748,                0.80262,             0.00065982,             0.00065982,             0.00065982
                     23,                0.33563,                 1.0983,                0.83132,                0.91117,                0.93676,                0.98391,                0.94755,                0.28791,                 1.2167,                0.80256,             0.00065157,             0.00065157,             0.00065157
                     24,                0.33906,                  1.089,                0.82814,                0.94973,                0.91064,                0.97689,                0.94979,                0.26857,                 1.0197,                0.79589,             0.00064333,             0.00064333,             0.00064333
                     25,                0.32219,                0.90728,                0.83175,                0.86082,                0.90726,                0.96354,                0.94009,                 0.2707,                 1.0151,                0.79491,             0.00063508,             0.00063508,             0.00063508
                     26,                0.39872,                0.99346,                0.95613,                0.94225,                0.95505,                0.98583,                0.95423,                0.27645,                0.81145,                0.79725,             0.00062683,             0.00062683,             0.00062683
                     27,                 0.3571,                 1.0607,                0.81148,                0.87548,                0.93611,                0.96139,                0.93163,                0.27445,                0.94733,                0.79587,             0.00061859,             0.00061859,             0.00061859
                     28,                0.32867,                 1.0595,                0.80131,                0.95117,                0.94319,                0.97173,                0.94993,                0.27142,                0.89505,                0.79307,             0.00061034,             0.00061034,             0.00061034
                     29,                0.33997,                0.95881,                0.81376,                0.93387,                 0.9788,                0.98204,                0.96949,                0.26878,                0.86192,                0.79413,             0.00060209,             0.00060209,             0.00060209
                     30,                0.32956,                0.95727,                0.80982,                0.86536,                0.92243,                0.98715,                0.97202,                0.27659,                0.90261,                 0.7977,             0.00059385,             0.00059385,             0.00059385
                     31,                0.31915,                0.85814,                0.81636,                0.90757,                0.98954,                0.99301,                0.97902,                0.25853,                0.74965,                0.79447,              0.0005856,              0.0005856,              0.0005856
                     32,                0.29076,                0.86121,                0.78535,                0.96672,                0.99195,                0.99198,                0.97213,                 0.2589,                0.71426,                  0.796,             0.00057735,             0.00057735,             0.00057735
                     33,                0.31926,                0.89023,                 0.8171,                0.93723,                0.98341,                 0.9889,                0.97403,                0.25057,                0.74966,                0.79327,             0.00056911,             0.00056911,             0.00056911
                     34,                0.34265,                 0.8605,                0.80835,                0.96002,                0.98843,                0.99147,                0.97224,                0.25131,                0.70495,                0.79336,             0.00056086,             0.00056086,             0.00056086
                     35,                0.33031,                0.84442,                0.81556,                0.92181,                0.96829,                0.99173,                0.97744,                0.24442,                0.71198,                0.79575,             0.00055261,             0.00055261,             0.00055261
                     36,                0.30647,                0.82081,                0.78899,                0.98716,                0.98909,                  0.995,                0.98467,                0.23982,                0.63919,                0.79179,             0.00054437,             0.00054437,             0.00054437
                     37,                0.31907,                 1.0531,                0.81149,                0.98584,                0.99117,                  0.995,                0.98079,                0.24253,                0.62953,                0.79143,             0.00053612,             0.00053612,             0.00053612
                     38,                0.31886,                0.92094,                0.79355,                0.94717,                0.99672,                0.99481,                0.98528,                0.24843,                0.66287,                0.79096,             0.00052787,             0.00052787,             0.00052787
                     39,                 0.3015,                0.74347,                0.82469,                0.99261,                0.99639,                  0.995,                0.98658,                0.23436,                0.61045,                0.79224,             0.00051963,             0.00051963,             0.00051963
                     40,                 0.2909,                0.81322,                0.79778,                0.96721,                      1,                  0.995,                0.97714,                0.23586,                0.60257,                0.79446,             0.00051138,             0.00051138,             0.00051138
                     41,                0.28823,                0.66733,                0.81824,                0.97417,                 0.9849,                0.99469,                0.98144,                0.22868,                0.61781,                0.79281,             0.00050313,             0.00050313,             0.00050313
                     42,                 0.3112,                0.80097,                0.81782,                0.98863,                0.99754,                  0.995,                0.97172,                0.25881,                0.62338,                0.79696,             0.00049489,             0.00049489,             0.00049489
                     43,                0.29284,                0.77194,                  0.832,                0.98652,                      1,                  0.995,                0.97529,                0.23346,                0.62259,                0.79176,             0.00048664,             0.00048664,             0.00048664
